timestamp,open_price,high_price,low_price,closing_price,volume
2025-11-21T05:00:00,587.47,596.98,580.74,590.07,103343883.0
2025-11-20T05:00:00,611.62,614.03,584.75,585.67,117742495.0
2025-11-19T05:00:00,597.07,606.16,594.59,599.87,73111387.0
2025-11-18T05:00:00,599.62,602.31,591.34,596.31,83326649.0
2025-11-17T05:00:00,606.3,612.48,599.87,603.66,63850367.0
2025-11-14T05:00:00,599.55,613.35,597.17,608.86,80087131.0
2025-11-13T05:00:00,617.54,618.12,606.08,608.4,71333614.0
2025-11-12T05:00:00,624.84,624.86,617.81,621.08,47444384.0
2025-11-11T05:00:00,620.57,622.72,617.52,621.57,44868841.0
2025-11-10T05:00:00,618.92,624.31,616.89,623.23,55919731.0
2025-11-07T05:00:00,608.31,609.95,598.67,609.74,81835388.0
2025-11-06T05:00:00,621.79,622.04,610.3,611.67,72115048.0
2025-11-05T05:00:00,618.49,626.6,617.21,623.28,48688484.0
2025-11-04T05:00:00,623.28,626.95,618.455,619.25,63830768.0
2025-11-03T05:00:00,635.11,635.82,629.85,632.08,37154267.0
2025-10-31T04:00:00,634.17,634.2,626.69,629.07,66305047.0
2025-10-30T04:00:00,632.17,633.5,625.94,626.05,61628511.0
2025-10-29T04:00:00,635.59,637.01,630.25,635.77,67422576.0
2025-10-28T04:00:00,630.36,634.68,629.25,632.92,61195733.0
2025-10-27T04:00:00,624.52,628.55,624.03,628.09,54098611.0
2025-10-24T04:00:00,615.99,618.42,615.13,617.1,47632473.0
2025-10-23T04:00:00,604.91,611.37,604.52,610.58,42844298.0
2025-10-22T04:00:00,610.82,611.41,599.74,605.49,61478802.0
2025-10-21T04:00:00,611.64,612.7213,609.32,611.38,44538161.0
2025-10-20T04:00:00,607.14,612.8,607.065,611.54,45761697.0
2025-10-17T04:00:00,597.95,605.51,596.37,603.93,72024872.0
2025-10-16T04:00:00,605.11,608.31,595.5,599.99,70981963.0
2025-10-15T04:00:00,604.01,606.7,595.93,602.22,62805456.0
